"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5164428","SRX5164428","SRR8353566","SAMN10615505","4-14-1001-15","4-14-1001-15","4-14-1001-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-15","Collection Country: USA Collection Year: 2012"
"SRX5164429","SRX5164429","SRR8353567","SAMN10615506","4-14-1002-15","4-14-1002-15","4-14-1002-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-15","Collection Country: USA Collection Year: 2012"
"SRX5164430","SRX5164430","SRR8353568","SAMN10615507","4-14-1001-10","4-14-1001-10","4-14-1001-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-10","Collection Country: USA Collection Year: 2012"
"SRX5164431","SRX5164431","SRR8353569","SAMN10615508","4-14-1002-10","4-14-1002-10","4-14-1002-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-10","Collection Country: USA Collection Year: 2011"
"SRX5164432","SRX5164432","SRR8353570","SAMN10615509","4-14-1002-20","4-14-1002-20","4-14-1002-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-20","Collection Country: USA Collection Year: 2012"
"SRX5164433","SRX5164433","SRR8353571","SAMN10615510","4-14-1001-25","4-14-1001-25","4-14-1001-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-25","Collection Country: USA Collection Year: 2012"
"SRX5164434","SRX5164434","SRR8353572","SAMN10615511","4-14-1001-05","4-14-1001-05","4-14-1001-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-05","Collection Country: USA Collection Year: 2011"
"SRX5164435","SRX5164435","SRR8353573","SAMN10615512","4-14-1002-05","4-14-1002-05","4-14-1002-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-05","Collection Country: USA Collection Year: 2011"
"SRX5164436","SRX5164436","SRR8353574","SAMN10615513","4-14-1001-20","4-14-1001-20","4-14-1001-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1001-20","Collection Country: USA Collection Year: 2012"
"SRX5164437","SRX5164437","SRR8353575","SAMN10615514","4-14-1003-05","4-14-1003-05","4-14-1003-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-05","Collection Country: USA Collection Year: 2011"
"SRX5164438","SRX5164438","SRR8353576","SAMN10615515","4-14-1003-25","4-14-1003-25","4-14-1003-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-25","Collection Country: USA Collection Year: 2012"
"SRX5164439","SRX5164439","SRR8353577","SAMN10615516","4-14-1002-25","4-14-1002-25","4-14-1002-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1002-25","Collection Country: USA Collection Year: 2012"
"SRX5164440","SRX5164440","SRR8353578","SAMN10615517","4-14-1003-20","4-14-1003-20","4-14-1003-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-20","Collection Country: USA Collection Year: 2012"
"SRX5164441","SRX5164441","SRR8353579","SAMN10615518","4-14-1004-10","4-14-1004-10","4-14-1004-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-10","Collection Country: USA Collection Year: 2011"
"SRX5164442","SRX5164442","SRR8353580","SAMN10615519","4-14-1003-10","4-14-1003-10","4-14-1003-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-10","Collection Country: USA Collection Year: 2011"
"SRX5164443","SRX5164443","SRR8353581","SAMN10615520","4-14-1003-15","4-14-1003-15","4-14-1003-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1003-15","Collection Country: USA Collection Year: 2012"
"SRX5164444","SRX5164444","SRR8353582","SAMN10615521","4-14-1004-15","4-14-1004-15","4-14-1004-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-15","Collection Country: USA Collection Year: 2012"
"SRX5164445","SRX5164445","SRR8353583","SAMN10615522","4-14-1004-05","4-14-1004-05","4-14-1004-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-05","Collection Country: USA Collection Year: 2011"
"SRX5164446","SRX5164446","SRR8353584","SAMN10615523","4-14-1005-15","4-14-1005-15","4-14-1005-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1005-15","Collection Country: USA Collection Year: 2012"
"SRX5164447","SRX5164447","SRR8353585","SAMN10615524","4-14-1006-10","4-14-1006-10","4-14-1006-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1006-10","Collection Country: USA Collection Year: 2011"
"SRX5164448","SRX5164448","SRR8353586","SAMN10615525","4-14-1004-25","4-14-1004-25","4-14-1004-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-25","Collection Country: USA Collection Year: 2012"
"SRX5164449","SRX5164449","SRR8353587","SAMN10615526","4-14-1005-10","4-14-1005-10","4-14-1005-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1005-10","Collection Country: USA Collection Year: 2011"
"SRX5164450","SRX5164450","SRR8353588","SAMN10615527","4-14-1006-05","4-14-1006-05","4-14-1006-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1006-05","Collection Country: USA Collection Year: 2011"
"SRX5164451","SRX5164451","SRR8353589","SAMN10615528","4-14-1004-20","4-14-1004-20","4-14-1004-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1004-20","Collection Country: USA Collection Year: 2012"
"SRX5164452","SRX5164452","SRR8353590","SAMN10615529","4-14-1005-05","4-14-1005-05","4-14-1005-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1005-05","Collection Country: USA Collection Year: 2011"
"SRX5164453","SRX5164453","SRR8353591","SAMN10615530","4-14-1005-20","4-14-1005-20","4-14-1005-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1005-20","Collection Country: USA Collection Year: 2012"
"SRX5164454","SRX5164454","SRR8353592","SAMN10615531","4-14-1005-25","4-14-1005-25","4-14-1005-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1005-25","Collection Country: USA Collection Year: 2012"
"SRX5164455","SRX5164455","SRR8353593","SAMN10615532","4-14-1007-25","4-14-1007-25","4-14-1007-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1007-25","Collection Country: USA Collection Year: 2012"
"SRX5164456","SRX5164456","SRR8353594","SAMN10615533","4-14-1007-10","4-14-1007-10","4-14-1007-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1007-10","Collection Country: USA Collection Year: 2011"
"SRX5164457","SRX5164457","SRR8353595","SAMN10615534","4-14-1007-20","4-14-1007-20","4-14-1007-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1007-20","Collection Country: USA Collection Year: 2012"
"SRX5164458","SRX5164458","SRR8353596","SAMN10615535","4-14-1007-05","4-14-1007-05","4-14-1007-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1007-05","Collection Country: USA Collection Year: 2011"
"SRX5164459","SRX5164459","SRR8353597","SAMN10615536","4-14-1007-15","4-14-1007-15","4-14-1007-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1007-15","Collection Country: USA Collection Year: 2012"
"SRX5164460","SRX5164460","SRR8353918","SAMN10615761","B198-M06","B198-M06","B198-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B198-M06","Collection Country: USA Collection Year: 2012"
"SRX5164461","SRX5164461","SRR8353919","SAMN10615762","B988-M06","B988-M06","B988-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B988-M06","Collection Country: USA Collection Year: 2012"
"SRX5164462","SRX5164462","SRR8353920","SAMN10615763","B291-M06","B291-M06","B291-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B291-M06","Collection Country: USA Collection Year: 2013"
"SRX5164463","SRX5164463","SRR8353921","SAMN10615764","B453-M06","B453-M06","B453-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B453-M06","Collection Country: USA Collection Year: 2012"
"SRX5164464","SRX5164464","SRR8353922","SAMN10615765","B456-M06","B456-M06","B456-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B456-M06","Collection Country: USA Collection Year: 2012"
"SRX5164465","SRX5164465","SRR8353923","SAMN10615766","B440-M06","B440-M06","B440-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B440-M06","Collection Country: USA Collection Year: 2012"
"SRX5164466","SRX5164466","SRR8353924","SAMN10615767","B351-M06","B351-M06","B351-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B351-M06","Collection Country: USA Collection Year: 2012"
"SRX5164467","SRX5164467","SRR8353925","SAMN10615768","B754-M06","B754-M06","B754-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B754-M06","Collection Country: USA Collection Year: 2012"
"SRX5164468","SRX5164468","SRR8353926","SAMN10615769","B877-M06","B877-M06","B877-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B877-M06","Collection Country: USA Collection Year: 2012"
"SRX5164469","SRX5164469","SRR8353927","SAMN10615770","B791-M06","B791-M06","B791-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B791-M06","Collection Country: USA Collection Year: 2012"
"SRX5164470","SRX5164470","SRR8353928","SAMN10615771","B146-M06","B146-M06","B146-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B146-M06","Collection Country: USA Collection Year: 2012"
"SRX5164471","SRX5164471","SRR8353929","SAMN10615772","B419-M06","B419-M06","B419-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B419-M06","Collection Country: USA Collection Year: 2013"
"SRX5164472","SRX5164472","SRR8353930","SAMN10615773","B547-M06","B547-M06","B547-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B547-M06","Collection Country: USA Collection Year: 2012"
"SRX5164473","SRX5164473","SRR8353931","SAMN10615774","B956-M06","B956-M06","B956-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B956-M06","Collection Country: USA Collection Year: 2012"
"SRX5164474","SRX5164474","SRR8353932","SAMN10615775","B977-M06","B977-M06","B977-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B977-M06","Collection Country: USA Collection Year: 2012"
"SRX5164475","SRX5164475","SRR8353933","SAMN10615776","B645-M06","B645-M06","B645-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B645-M06","Collection Country: USA Collection Year: 2012"
"SRX5164476","SRX5164476","SRR8353934","SAMN10615777","B911-M06","B911-M06","B911-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B911-M06","Collection Country: USA Collection Year: 2012"
"SRX5164477","SRX5164477","SRR8353935","SAMN10615778","B178-M06","B178-M06","B178-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B178-M06","Collection Country: USA Collection Year: 2013"
"SRX5164478","SRX5164478","SRR8353936","SAMN10615779","B375-M06","B375-M06","B375-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B375-M06","Collection Country: USA Collection Year: 2012"
"SRX5164479","SRX5164479","SRR8353937","SAMN10615780","B182-M06","B182-M06","B182-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B182-M06","Collection Country: USA Collection Year: 2012"
"SRX5164480","SRX5164480","SRR8353938","SAMN10615781","B957-M06","B957-M06","B957-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B957-M06","Collection Country: USA Collection Year: 2013"
"SRX5164481","SRX5164481","SRR8353939","SAMN10615782","B190-M06","B190-M06","B190-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B190-M06","Collection Country: USA Collection Year: 2012"
"SRX5164482","SRX5164482","SRR8353940","SAMN10615783","B692-M06","B692-M06","B692-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B692-M06","Collection Country: USA Collection Year: 2013"
"SRX5164483","SRX5164483","SRR8353941","SAMN10615784","B230-M06","B230-M06","B230-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B230-M06","Collection Country: USA Collection Year: 2012"
"SRX5164484","SRX5164484","SRR8353942","SAMN10615785","B964-M06","B964-M06","B964-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B964-M06","Collection Country: USA Collection Year: 2013"
"SRX5164485","SRX5164485","SRR8353943","SAMN10615786","B103-M06","B103-M06","B103-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B103-M06","Collection Country: USA Collection Year: 2012"
"SRX5164486","SRX5164486","SRR8353944","SAMN10615787","B576-M06","B576-M06","B576-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B576-M06","Collection Country: USA Collection Year: 2012"
"SRX5164487","SRX5164487","SRR8353945","SAMN10615788","B493-M06","B493-M06","B493-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B493-M06","Collection Country: USA Collection Year: 2013"
"SRX5164488","SRX5164488","SRR8353946","SAMN10615789","B122-M06","B122-M06","B122-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B122-M06","Collection Country: USA Collection Year: 2012"
"SRX5164489","SRX5164489","SRR8353947","SAMN10615790","B522-M06","B522-M06","B522-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B522-M06","Collection Country: USA Collection Year: 2013"
"SRX5164490","SRX5164490","SRR8353948","SAMN10615791","B937-M06","B937-M06","B937-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B937-M06","Collection Country: USA Collection Year: 2013"
"SRX5164491","SRX5164491","SRR8353949","SAMN10615792","B044-M06","B044-M06","B044-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B044-M06","Collection Country: USA Collection Year: 2012"
"SRX5164492","SRX5164492","SRR8353950","SAMN10615793","B782-M06","B782-M06","B782-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B782-M06","Collection Country: USA Collection Year: 2013"
"SRX5164493","SRX5164493","SRR8353951","SAMN10615794","B809-M06","B809-M06","B809-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B809-M06","Collection Country: USA Collection Year: 2012"
"SRX5164494","SRX5164494","SRR8353952","SAMN10615795","B836-M06","B836-M06","B836-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B836-M06","Collection Country: USA Collection Year: 2013"
"SRX5164495","SRX5164495","SRR8353953","SAMN10615796","B640-M06","B640-M06","B640-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B640-M06","Collection Country: USA Collection Year: 2013"
"SRX5164496","SRX5164496","SRR8353954","SAMN10615797","B562-M06","B562-M06","B562-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B562-M06","Collection Country: USA Collection Year: 2012"
"SRX5164497","SRX5164497","SRR8353955","SAMN10615798","B634-M06","B634-M06","B634-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B634-M06","Collection Country: USA Collection Year: 2013"
"SRX5164498","SRX5164498","SRR8353956","SAMN10615799","B991-M06","B991-M06","B991-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B991-M06","Collection Country: USA Collection Year: 2013"
"SRX5164499","SRX5164499","SRR8353957","SAMN10615800","B559-M06","B559-M06","B559-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B559-M06","Collection Country: USA Collection Year: 2013"
"SRX5164500","SRX5164500","SRR8353958","SAMN10615801","B363-M06","B363-M06","B363-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B363-M06","Collection Country: USA Collection Year: 2013"
"SRX5164501","SRX5164501","SRR8353959","SAMN10615802","B945-M06","B945-M06","B945-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B945-M06","Collection Country: USA Collection Year: 2013"
"SRX5164502","SRX5164502","SRR8353960","SAMN10615803","B583-M06","B583-M06","B583-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B583-M06","Collection Country: USA Collection Year: 2013"
"SRX5164503","SRX5164503","SRR8353961","SAMN10615804","B928-M06","B928-M06","B928-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B928-M06","Collection Country: USA Collection Year: 2012"
"SRX5164504","SRX5164504","SRR8353962","SAMN10615805","B964-M12","B964-M12","B964-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B964-M12","Collection Country: USA Collection Year: 2013"
"SRX5164505","SRX5164505","SRR8353963","SAMN10615806","B512-M12","B512-M12","B512-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B512-M12","Collection Country: USA Collection Year: 2014"
"SRX5164506","SRX5164506","SRR8353964","SAMN10615807","B941-M12","B941-M12","B941-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B941-M12","Collection Country: USA Collection Year: 2013"
"SRX5164507","SRX5164507","SRR8353965","SAMN10615808","B511-M12","B511-M12","B511-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B511-M12","Collection Country: USA Collection Year: 2013"
"SRX5164508","SRX5164508","SRR8353966","SAMN10615809","B945-M12","B945-M12","B945-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B945-M12","Collection Country: USA Collection Year: 2013"
"SRX5164509","SRX5164509","SRR8353967","SAMN10615810","B688-M12","B688-M12","B688-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B688-M12","Collection Country: USA Collection Year: 2013"
"SRX5164510","SRX5164510","SRR8353968","SAMN10615811","B493-M12","B493-M12","B493-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B493-M12","Collection Country: USA Collection Year: 2013"
"SRX5164511","SRX5164511","SRR8353969","SAMN10615812","B503-M12","B503-M12","B503-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B503-M12","Collection Country: USA Collection Year: 2013"
"SRX5164512","SRX5164512","SRR8353970","SAMN10615813","B928-M12","B928-M12","B928-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B928-M12","Collection Country: USA Collection Year: 2013"
"SRX5164513","SRX5164513","SRR8353971","SAMN10615814","B972-M12","B972-M12","B972-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B972-M12","Collection Country: USA Collection Year: 2014"
"SRX5164514","SRX5164514","SRR8353972","SAMN10615815","B988-M12","B988-M12","B988-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B988-M12","Collection Country: USA Collection Year: 2013"
"SRX5164515","SRX5164515","SRR8353973","SAMN10615816","B977-M12","B977-M12","B977-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B977-M12","Collection Country: USA Collection Year: 2013"
"SRX5164516","SRX5164516","SRR8353974","SAMN10615817","B782-M12","B782-M12","B782-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B782-M12","Collection Country: USA Collection Year: 2013"
"SRX5164517","SRX5164517","SRR8353975","SAMN10615818","B991-M12","B991-M12","B991-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B991-M12","Collection Country: USA Collection Year: 2013"
"SRX5164518","SRX5164518","SRR8353976","SAMN10615819","B754-M12","B754-M12","B754-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B754-M12","Collection Country: USA Collection Year: 2013"
"SRX5164519","SRX5164519","SRR8353977","SAMN10615820","B778-M12","B778-M12","B778-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B778-M12","Collection Country: USA Collection Year: 2013"
"SRX5164520","SRX5164520","SRR8353978","SAMN10615821","B728-M12","B728-M12","B728-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B728-M12","Collection Country: USA Collection Year: 2013"
"SRX5164521","SRX5164521","SRR8353979","SAMN10615822","B755-M12","B755-M12","B755-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B755-M12","Collection Country: USA Collection Year: 2013"
"SRX5164522","SRX5164522","SRR8353980","SAMN10615823","B791-M12","B791-M12","B791-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B791-M12","Collection Country: USA Collection Year: 2013"
"SRX5164523","SRX5164523","SRR8353981","SAMN10615824","B702-M12","B702-M12","B702-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B702-M12","Collection Country: USA Collection Year: 2013"
"SRX5164524","SRX5164524","SRR8353982","SAMN10615825","B689-M12","B689-M12","B689-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B689-M12","Collection Country: USA Collection Year: 2013"
"SRX5164525","SRX5164525","SRR8353983","SAMN10615826","B688-M10","B688-M10","B688-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B688-M10","Collection Country: USA Collection Year: 2013"
"SRX5164526","SRX5164526","SRR8353984","SAMN10615827","B956-M10","B956-M10","B956-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B956-M10","Collection Country: USA Collection Year: 2012"
"SRX5164527","SRX5164527","SRR8353985","SAMN10615828","B686-M10","B686-M10","B686-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B686-M10","Collection Country: USA Collection Year: 2013"
"SRX5164528","SRX5164528","SRR8353986","SAMN10615829","B945-M10","B945-M10","B945-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B945-M10","Collection Country: USA Collection Year: 2013"
"SRX5164529","SRX5164529","SRR8353987","SAMN10615830","B937-M10","B937-M10","B937-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B937-M10","Collection Country: USA Collection Year: 2013"
"SRX5164530","SRX5164530","SRR8353988","SAMN10615831","B680-M10","B680-M10","B680-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B680-M10","Collection Country: USA Collection Year: 2013"
"SRX5164531","SRX5164531","SRR8353989","SAMN10615832","B941-M10","B941-M10","B941-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B941-M10","Collection Country: USA Collection Year: 2013"
"SRX5164532","SRX5164532","SRR8353990","SAMN10615833","B928-M10","B928-M10","B928-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B928-M10","Collection Country: USA Collection Year: 2013"
"SRX5164533","SRX5164533","SRR8353991","SAMN10615834","B972-M10","B972-M10","B972-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B972-M10","Collection Country: USA Collection Year: 2013"
"SRX5164534","SRX5164534","SRR8353992","SAMN10615835","B689-M10","B689-M10","B689-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B689-M10","Collection Country: USA Collection Year: 2013"
"SRX5164535","SRX5164535","SRR8353993","SAMN10615836","B964-M10","B964-M10","B964-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B964-M10","Collection Country: USA Collection Year: 2013"
"SRX5164536","SRX5164536","SRR8353994","SAMN10615837","B991-M10","B991-M10","B991-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B991-M10","Collection Country: USA Collection Year: 2013"
"SRX5164537","SRX5164537","SRR8353995","SAMN10615838","B957-M10","B957-M10","B957-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B957-M10","Collection Country: USA Collection Year: 2013"
"SRX5164538","SRX5164538","SRR8353996","SAMN10615839","B702-M10","B702-M10","B702-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B702-M10","Collection Country: USA Collection Year: 2013"
"SRX5164539","SRX5164539","SRR8353997","SAMN10615840","B977-M10","B977-M10","B977-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B977-M10","Collection Country: USA Collection Year: 2013"
"SRX5164540","SRX5164540","SRR8353998","SAMN10615841","B988-M10","B988-M10","B988-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B988-M10","Collection Country: USA Collection Year: 2012"
"SRX5164541","SRX5164541","SRR8353999","SAMN10615842","B692-M10","B692-M10","B692-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B692-M10","Collection Country: USA Collection Year: 2013"
"SRX5164542","SRX5164542","SRR8354000","SAMN10615843","B809-M10","B809-M10","B809-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B809-M10","Collection Country: USA Collection Year: 2013"
"SRX5164543","SRX5164543","SRR8354001","SAMN10615844","B877-M10","B877-M10","B877-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B877-M10","Collection Country: USA Collection Year: 2013"
"SRX5164544","SRX5164544","SRR8354002","SAMN10615845","B791-M10","B791-M10","B791-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B791-M10","Collection Country: USA Collection Year: 2013"
"SRX5164545","SRX5164545","SRR8354003","SAMN10615846","B853-M10","B853-M10","B853-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B853-M10","Collection Country: USA Collection Year: 2012"
"SRX5164546","SRX5164546","SRR8354004","SAMN10615847","B754-M10","B754-M10","B754-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B754-M10","Collection Country: USA Collection Year: 2013"
"SRX5164547","SRX5164547","SRR8354005","SAMN10615848","B819-M10","B819-M10","B819-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B819-M10","Collection Country: USA Collection Year: 2013"
"SRX5164548","SRX5164548","SRR8354006","SAMN10615849","B836-M10","B836-M10","B836-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B836-M10","Collection Country: USA Collection Year: 2013"
"SRX5164549","SRX5164549","SRR8354007","SAMN10615850","B728-M10","B728-M10","B728-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B728-M10","Collection Country: USA Collection Year: 2013"
"SRX5164550","SRX5164550","SRR8354008","SAMN10615851","B069-M12","B069-M12","B069-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B069-M12","Collection Country: USA Collection Year: 2014"
"SRX5164551","SRX5164551","SRR8354009","SAMN10615852","B043-M12","B043-M12","B043-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B043-M12","Collection Country: USA Collection Year: 2013"
"SRX5164552","SRX5164552","SRR8354010","SAMN10615853","B103-M12","B103-M12","B103-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B103-M12","Collection Country: USA Collection Year: 2013"
"SRX5164553","SRX5164553","SRR8354011","SAMN10615854","B044-M12","B044-M12","B044-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B044-M12","Collection Country: USA Collection Year: 2013"
"SRX5164554","SRX5164554","SRR8354012","SAMN10615855","B906-M10","B906-M10","B906-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B906-M10","Collection Country: USA Collection Year: 2013"
"SRX5164555","SRX5164555","SRR8354013","SAMN10615856","B079-M12","B079-M12","B079-M12","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B079-M12","Collection Country: USA Collection Year: 2013"
"SRX5164556","SRX5164556","SRR8354014","SAMN10615857","B911-M10","B911-M10","B911-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B911-M10","Collection Country: USA Collection Year: 2013"
"SRX5164557","SRX5164557","SRR8354015","SAMN10615858","B900-M10","B900-M10","B900-M10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B900-M10","Collection Country: USA Collection Year: 2012-2014"
