"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5165027","SRX5165027","SRR8353878","SAMN10615721","B543-M03","B543-M03","B543-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B543-M03","Collection Country: USA Collection Year: 2013"
"SRX5165028","SRX5165028","SRR8353879","SAMN10615722","B559-M03","B559-M03","B559-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B559-M03","Collection Country: USA Collection Year: 2012"
"SRX5165029","SRX5165029","SRR8353880","SAMN10615723","B375-M03","B375-M03","B375-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B375-M03","Collection Country: USA Collection Year: 2012"
"SRX5165030","SRX5165030","SRR8353881","SAMN10615724","B421-M03","B421-M03","B421-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B421-M03","Collection Country: USA Collection Year: 2012"
"SRX5165031","SRX5165031","SRR8353882","SAMN10615725","B547-M03","B547-M03","B547-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B547-M03","Collection Country: USA Collection Year: 2012"
"SRX5165032","SRX5165032","SRR8353883","SAMN10615726","B400-M03","B400-M03","B400-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B400-M03","Collection Country: USA Collection Year: 2013"
"SRX5165033","SRX5165033","SRR8353884","SAMN10615727","B576-M03","B576-M03","B576-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B576-M03","Collection Country: USA Collection Year: 2012"
"SRX5165034","SRX5165034","SRR8353885","SAMN10615728","B363-M03","B363-M03","B363-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B363-M03","Collection Country: USA Collection Year: 2012"
"SRX5165035","SRX5165035","SRR8353886","SAMN10615729","B405-M03","B405-M03","B405-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B405-M03","Collection Country: USA Collection Year: 2012"
"SRX5165036","SRX5165036","SRR8353887","SAMN10615730","B398-M03","B398-M03","B398-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B398-M03","Collection Country: USA Collection Year: 2012"
"SRX5165037","SRX5165037","SRR8353888","SAMN10615731","4-14-1024-10","4-14-1024-10","4-14-1024-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1024-10","Collection Country: USA Collection Year: 2012"
"SRX5165038","SRX5165038","SRR8353889","SAMN10615732","4-14-1022-20","4-14-1022-20","4-14-1022-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1022-20","Collection Country: USA Collection Year: 2012"
"SRX5165039","SRX5165039","SRR8353890","SAMN10615733","4-14-1024-05","4-14-1024-05","4-14-1024-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1024-05","Collection Country: USA Collection Year: 2011"
"SRX5165040","SRX5165040","SRR8353891","SAMN10615734","4-14-1023-15","4-14-1023-15","4-14-1023-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1023-15","Collection Country: USA Collection Year: 2012"
"SRX5165041","SRX5165041","SRR8353892","SAMN10615735","4-14-1023-25","4-14-1023-25","4-14-1023-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1023-25","Collection Country: USA Collection Year: 2012"
"SRX5165042","SRX5165042","SRR8353893","SAMN10615736","4-14-1023-05","4-14-1023-05","4-14-1023-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1023-05","Collection Country: USA Collection Year: 2011"
"SRX5165043","SRX5165043","SRR8353894","SAMN10615737","4-14-1024-15","4-14-1024-15","4-14-1024-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1024-15","Collection Country: USA Collection Year: 2012"
"SRX5165044","SRX5165044","SRR8353895","SAMN10615738","4-14-1022-10","4-14-1022-10","4-14-1022-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1022-10","Collection Country: USA Collection Year: 2011"
"SRX5165045","SRX5165045","SRR8353896","SAMN10615739","4-14-1023-10","4-14-1023-10","4-14-1023-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1023-10","Collection Country: USA Collection Year: 2012"
"SRX5165046","SRX5165046","SRR8353897","SAMN10615740","4-14-1022-25","4-14-1022-25","4-14-1022-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1022-25","Collection Country: USA Collection Year: 2012"
"SRX5165047","SRX5165047","SRR8353898","SAMN10615741","4-14-1028-05","4-14-1028-05","4-14-1028-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1028-05","Collection Country: USA Collection Year: 2011"
"SRX5165048","SRX5165048","SRR8353899","SAMN10615742","4-14-1026-15","4-14-1026-15","4-14-1026-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1026-15","Collection Country: USA Collection Year: 2012"
"SRX5165049","SRX5165049","SRR8353900","SAMN10615743","4-14-1026-10","4-14-1026-10","4-14-1026-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1026-10","Collection Country: USA Collection Year: 2012"
"SRX5165050","SRX5165050","SRR8353901","SAMN10615744","4-14-1027-10","4-14-1027-10","4-14-1027-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1027-10","Collection Country: USA Collection Year: 2012"
"SRX5165051","SRX5165051","SRR8353902","SAMN10615745","4-14-1027-20","4-14-1027-20","4-14-1027-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1027-20","Collection Country: USA Collection Year: 2012"
"SRX5165052","SRX5165052","SRR8353903","SAMN10615746","4-14-1026-25","4-14-1026-25","4-14-1026-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1026-25","Collection Country: USA Collection Year: 2012"
"SRX5165053","SRX5165053","SRR8353904","SAMN10615747","4-14-1028-10","4-14-1028-10","4-14-1028-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1028-10","Collection Country: USA Collection Year: 2012"
"SRX5165054","SRX5165054","SRR8353905","SAMN10615748","4-14-1026-05","4-14-1026-05","4-14-1026-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1026-05","Collection Country: USA Collection Year: 2011"
"SRX5165055","SRX5165055","SRR8353906","SAMN10615749","4-14-1027-05","4-14-1027-05","4-14-1027-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1027-05","Collection Country: USA Collection Year: 2011"
"SRX5165056","SRX5165056","SRR8353907","SAMN10615750","B109-M06","B109-M06","B109-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B109-M06","Collection Country: USA Collection Year: 2012"
"SRX5165057","SRX5165057","SRR8353908","SAMN10615751","B362-M06","B362-M06","B362-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B362-M06","Collection Country: USA Collection Year: 2012"
"SRX5165058","SRX5165058","SRR8353909","SAMN10615752","4-14-1028-20","4-14-1028-20","4-14-1028-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1028-20","Collection Country: USA Collection Year: 2012"
"SRX5165059","SRX5165059","SRR8353910","SAMN10615753","B620-M06","B620-M06","B620-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B620-M06","Collection Country: USA Collection Year: 2012"
"SRX5165060","SRX5165060","SRR8353911","SAMN10615754","B005-M06","B005-M06","B005-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B005-M06","Collection Country: USA Collection Year: 2012"
"SRX5165061","SRX5165061","SRR8353912","SAMN10615755","B050-M06","B050-M06","B050-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B050-M06","Collection Country: USA Collection Year: 2012"
"SRX5165062","SRX5165062","SRR8353913","SAMN10615756","B666-M06","B666-M06","B666-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B666-M06","Collection Country: USA Collection Year: 2012"
"SRX5165063","SRX5165063","SRR8353914","SAMN10615757","4-14-1028-15","4-14-1028-15","4-14-1028-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1028-15","Collection Country: USA Collection Year: 2012"
"SRX5165064","SRX5165064","SRR8353915","SAMN10615758","B621-M06","B621-M06","B621-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B621-M06","Collection Country: USA Collection Year: 2012"
"SRX5165065","SRX5165065","SRR8353916","SAMN10615759","B689-M06","B689-M06","B689-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B689-M06","Collection Country: USA Collection Year: 2012"
"SRX5165066","SRX5165066","SRR8353917","SAMN10615760","B148-M06","B148-M06","B148-M06","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B148-M06","Collection Country: USA Collection Year: 2012"
"SRX5235414","SRX5235414","SRR8428069","SAMN10722613","B130-M10","B130-M10","B130-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B130-M10","Collection Country: USA Collection Year: 2013"
"SRX5235415","SRX5235415","SRR8428070","SAMN10722614","B130-M12","B130-M12","B130-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B130-M12","Collection Country: USA Collection Year: 2013"
"SRX5235416","SRX5235416","SRR8428071","SAMN10722615","B266-M08","B266-M08","B266-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B266-M08","Collection Country: USA Collection Year: 2014"
"SRX5235417","SRX5235417","SRR8428072","SAMN10722616","B390-M04","B390-M04","B390-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B390-M04","Collection Country: USA Collection Year: 2012-2014"
"SRX5235418","SRX5235418","SRR8428073","SAMN10722617","B470-M08","B470-M08","B470-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B470-M08","Collection Country: USA Collection Year: 2014"
"SRX5235419","SRX5235419","SRR8428074","SAMN10722618","B334-M10","B334-M10","B334-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B334-M10","Collection Country: USA Collection Year: 2014"
"SRX5235420","SRX5235420","SRR8428075","SAMN10722619","B331-M06","B331-M06","B331-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B331-M06","Collection Country: USA Collection Year: 2013"
"SRX5235421","SRX5235421","SRR8428076","SAMN10722620","B243-M06","B243-M06","B243-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B243-M06","Collection Country: USA Collection Year: 2014"
"SRX5235422","SRX5235422","SRR8428077","SAMN10722621","B426-M06","B426-M06","B426-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B426-M06","Collection Country: USA Collection Year: 2013"
"SRX5235423","SRX5235423","SRR8428078","SAMN10722622","B334-M12","B334-M12","B334-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B334-M12","Collection Country: USA Collection Year: 2014"
"SRX5235424","SRX5235424","SRR8428079","SAMN10722623","B461-M08","B461-M08","B461-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B461-M08","Collection Country: USA Collection Year: 2014"
"SRX5235425","SRX5235425","SRR8428080","SAMN10722624","B211-M12","B211-M12","B211-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B211-M12","Collection Country: USA Collection Year: 2014"
"SRX5235426","SRX5235426","SRR8428081","SAMN10722625","B334-M06","B334-M06","B334-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B334-M06","Collection Country: USA Collection Year: 2014"
