SRS5179578.SRR9865820	sra-paired:SRR9865820
SRS5179577.SRR9865821	sra-paired:SRR9865821
SRS5179524.SRR9865700	sra-paired:SRR9865700
SRS5179523.SRR9865701	sra-paired:SRR9865701
SRS5179344.SRR9865544	sra-paired:SRR9865544
SRS5179345.SRR9865543	sra-paired:SRR9865543
SRS5179353.SRR9865534	sra-paired:SRR9865534
SRS5179632.SRR9865766	sra-paired:SRR9865766
SRS5179631.SRR9865767	sra-paired:SRR9865767
SRS5179630.SRR9865768	sra-paired:SRR9865768
SRS5179628.SRR9865769	sra-paired:SRR9865769
SRS5179636.SRR9865762	sra-paired:SRR9865762
SRS5179635.SRR9865763	sra-paired:SRR9865763
SRS5179634.SRR9865764	sra-paired:SRR9865764
SRS5179515.SRR9865709	sra-paired:SRR9865709
SRS5179516.SRR9865708	sra-paired:SRR9865708
SRS5179527.SRR9865697	sra-paired:SRR9865697
SRS5179528.SRR9865696	sra-paired:SRR9865696
SRS5179360.SRR9865527	sra-paired:SRR9865527
SRS5179361.SRR9865528	sra-paired:SRR9865528
SRS5179364.SRR9865525	sra-paired:SRR9865525
SRS5179362.SRR9865526	sra-paired:SRR9865526
SRS5179365.SRR9865523	sra-paired:SRR9865523
SRS5179363.SRR9865524	sra-paired:SRR9865524
SRS5179367.SRR9865521	sra-paired:SRR9865521
SRS5179366.SRR9865522	sra-paired:SRR9865522
SRS5179369.SRR9865519	sra-paired:SRR9865519
SRS5179368.SRR9865520	sra-paired:SRR9865520
SRS5179481.SRR9865743	sra-paired:SRR9865743
SRS5179480.SRR9865744	sra-paired:SRR9865744
SRS5179483.SRR9865741	sra-paired:SRR9865741
SRS5179404.SRR9865652	sra-paired:SRR9865652
SRS5179260.SRR9865454	sra-paired:SRR9865454
SRS5179261.SRR9865453	sra-paired:SRR9865453
SRS5179430.SRR9865626	sra-paired:SRR9865626
SRS5179422.SRR9865635	sra-paired:SRR9865635
SRS5179488.SRR9865736	sra-paired:SRR9865736
SRS5179431.SRR9865625	sra-paired:SRR9865625
SRS5179354.SRR9865536	sra-paired:SRR9865536
SRS5179352.SRR9865535	sra-paired:SRR9865535
SRS5179440.SRR9865616	sra-paired:SRR9865616
SRS5179438.SRR9865617	sra-paired:SRR9865617
SRS5179439.SRR9865618	sra-paired:SRR9865618
SRS5179429.SRR9865627	sra-paired:SRR9865627
SRS5179428.SRR9865628	sra-paired:SRR9865628
SRS5179427.SRR9865629	sra-paired:SRR9865629
SRS5179426.SRR9865630	sra-paired:SRR9865630
SRS5179249.SRR9865465	sra-paired:SRR9865465
SRS5179248.SRR9865466	sra-paired:SRR9865466
SRS5179233.SRR9865481	sra-paired:SRR9865481
SRS5179232.SRR9865482	sra-paired:SRR9865482
SRS5179466.SRR9865590	sra-paired:SRR9865590
