SRS11692489	sra-paired:SRR17643606
SRS11692488	sra-paired:SRR17643607
SRS11692487	sra-paired:SRR17643608
SRS11692486	sra-paired:SRR17643609
SRS11692485	sra-paired:SRR17643610
SRS11692484	sra-paired:SRR17643611
SRS11692483	sra-paired:SRR17643612
SRS11692482	sra-paired:SRR17643613
SRS11692481	sra-paired:SRR17643614
SRS11692480	sra-paired:SRR17643615
SRS11692479	sra-paired:SRR17643616
SRS11692478	sra-paired:SRR17643617
SRS11692477	sra-paired:SRR17643618
SRS11692476	sra-paired:SRR17643619
SRS11692475	sra-paired:SRR17643620
SRS11692474	sra-paired:SRR17643621
SRS11692473	sra-paired:SRR17643622
SRS11692472	sra-paired:SRR17643623
SRS11692471	sra-paired:SRR17643624
SRS11692470	sra-paired:SRR17643625
SRS11692469	sra-paired:SRR17643626
SRS11692468	sra-paired:SRR17643627
SRS11692467	sra-paired:SRR17643628
SRS11692466	sra-paired:SRR17643629
SRS11692465	sra-paired:SRR17643630
SRS11692464	sra-paired:SRR17643631
SRS11692463	sra-paired:SRR17643632
SRS11692462	sra-paired:SRR17643633
SRS11692461	sra-paired:SRR17643634
SRS11692460	sra-paired:SRR17643635
SRS11692459	sra-paired:SRR17643636
SRS11692458	sra-paired:SRR17643637
SRS11692457	sra-paired:SRR17643638
SRS11692456	sra-paired:SRR17643639
SRS11692455	sra-paired:SRR17643640
SRS11692454	sra-paired:SRR17643641
SRS11692453	sra-paired:SRR17643642
SRS11692452	sra-paired:SRR17643643
SRS11692451	sra-paired:SRR17643644
SRS11692450	sra-paired:SRR17643645
SRS11692449	sra-paired:SRR17643646
SRS11692448	sra-paired:SRR17643647
SRS11692447	sra-paired:SRR17643648
SRS11692446	sra-paired:SRR17643649
SRS11692445	sra-paired:SRR17643650
SRS11692444	sra-paired:SRR17643651
SRS11692443	sra-paired:SRR17643652
SRS11692442	sra-paired:SRR17643653
SRS11692441	sra-paired:SRR17643654
SRS11692440	sra-paired:SRR17643655
SRS11692439	sra-paired:SRR17643656
SRS11692438	sra-paired:SRR17643657
SRS11692437	sra-paired:SRR17643658
SRS11692436	sra-paired:SRR17643659
SRS11692435	sra-paired:SRR17643660
SRS11692434	sra-paired:SRR17643661
SRS11692433	sra-paired:SRR17643662
SRS11692432	sra-paired:SRR17643663
SRS11692431	sra-paired:SRR17643664
SRS11692430	sra-paired:SRR17643665
SRS11692429	sra-paired:SRR17643666
SRS11692428	sra-paired:SRR17643667
SRS11692427	sra-paired:SRR17643668
SRS11692426	sra-paired:SRR17643669
SRS11692425	sra-paired:SRR17643670
SRS11692424	sra-paired:SRR17643671
SRS11692423	sra-paired:SRR17643672
SRS11692422	sra-paired:SRR17643673
SRS11692421	sra-paired:SRR17643674
SRS11692420	sra-paired:SRR17643675
SRS11692419	sra-paired:SRR17643676
SRS11692418	sra-paired:SRR17643677
SRS11692417	sra-paired:SRR17643678
SRS11692416	sra-paired:SRR17643679
